,id,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Generation,combat_avg,defense_avg,offense_avg,balance,efficiency,Legendary,Faixa_Total
16,135,Jolteon,Electric,,65,65,60,110,95,130,525,1,92.0,73.33333333333333,101.66666666666669,0.803030303030303,0.875,True,6
17,136,Flareon,Fire,,65,130,60,95,110,65,525,1,92.0,78.33333333333333,96.66666666666669,0.6962025316455696,0.875,True,6
18,121,Starmie,Water,Psychic,60,75,85,100,85,115,520,1,92.0,76.66666666666667,96.66666666666669,0.855072463768116,0.8666666666666667,True,6
19,73,Tentacruel,Water,Poison,80,70,65,80,120,100,515,1,87.0,88.33333333333333,83.33333333333333,0.835820895522388,0.8583333333333333,True,6
20,142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515,1,87.0,73.33333333333333,98.33333333333331,0.6721311475409837,0.8583333333333333,True,6
21,62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510,1,84.0,91.66666666666669,78.33333333333333,0.8714285714285714,0.85,True,6
22,31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,1,83.0,87.33333333333333,81.0,0.9056047197640118,0.8416666666666667,True,6
23,34,Nidoking,Poison,Ground,81,102,77,85,75,85,505,1,84.8,77.66666666666667,90.66666666666669,0.8466076696165192,0.8416666666666667,True,6
24,38,Ninetales,Fire,,73,76,75,81,100,100,505,1,86.4,82.66666666666667,85.66666666666667,0.9246987951807228,0.8416666666666667,True,6
25,68,Machamp,Fighting,,90,130,80,65,85,55,505,1,83.0,85.0,83.33333333333333,0.625,0.8416666666666667,True,6
26,55,Golduck,Water,,80,82,78,95,80,85,500,1,84.0,79.33333333333333,87.33333333333333,0.9044776119402984,0.8333333333333334,True,6
27,65,Alakazam,Psychic,,55,50,45,135,95,120,500,1,89.0,65.0,101.66666666666669,0.6,0.8333333333333334,True,6
28,78,Rapidash,Fire,,65,100,70,80,80,105,500,1,87.0,71.66666666666667,95.0,0.8484848484848485,0.8333333333333334,True,6
29,89,Muk,Poison,,105,105,75,65,100,50,500,1,79.0,93.33333333333331,73.33333333333333,0.6956521739130435,0.8333333333333334,True,6
30,94,Gengar,Ghost,Poison,60,65,60,130,75,110,500,1,88.0,65.0,101.66666666666669,0.6212121212121212,0.8333333333333334,True,6
31,123,Scyther,Bug,Flying,70,110,80,55,80,105,500,1,86.0,76.66666666666667,90.0,0.6615384615384615,0.8333333333333334,True,6
32,127,Pinsir,Bug,,65,125,100,55,70,85,500,1,87.0,78.33333333333333,88.33333333333333,0.6857142857142857,0.8333333333333334,True,6
33,76,Golem,Rock,Ground,80,120,130,55,65,45,495,1,83.0,91.66666666666669,73.33333333333333,0.7702702702702703,0.825,False,6
34,126,Magmar,Fire,,65,95,57,100,85,93,495,1,86.0,69.0,96.0,0.827893175074184,0.825,False,6
35,139,Omastar,Rock,Water,70,60,125,115,70,55,495,1,85.0,88.33333333333333,76.66666666666667,0.5540540540540541,0.825,False,6
36,141,Kabutops,Rock,Water,60,115,105,65,70,80,495,1,87.0,78.33333333333333,86.66666666666667,0.8169014084507042,0.825,False,6
37,45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,1,83.0,83.33333333333333,80.0,0.8493150684931507,0.8166666666666667,False,6
38,71,Victreebel,Grass,Poison,80,105,65,100,70,70,490,1,82.0,71.66666666666667,91.66666666666669,0.7794117647058824,0.8166666666666667,False,6
39,80,Slowbro,Water,Psychic,95,75,110,100,80,30,490,1,79.0,95.0,68.33333333333333,0.7808219178082192,0.8166666666666667,False,6
40,101,Electrode,Electric,,60,50,70,80,80,150,490,1,86.0,70.0,93.33333333333331,0.8214285714285714,0.8166666666666667,False,6
41,110,Weezing,Poison,,65,90,120,85,70,60,490,1,85.0,85.0,78.33333333333333,0.863013698630137,0.8166666666666667,False,6
42,115,Kangaskhan,Normal,,105,95,80,40,80,90,490,1,77.0,88.33333333333333,75.0,0.6271186440677966,0.8166666666666667,False,6
43,125,Electabuzz,Electric,,65,83,57,95,85,105,490,1,85.0,69.0,94.33333333333331,0.85,0.8166666666666667,False,6
44,128,Tauros,Normal,,75,100,95,40,70,110,490,1,83.0,80.0,83.33333333333333,0.6885245901639344,0.8166666666666667,False,6
45,26,Raichu,Electric,,60,90,55,90,80,110,485,1,85.0,65.0,96.66666666666669,0.8571428571428572,0.8083333333333333,False,5
46,112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,1,76.0,90.0,71.66666666666667,0.7205882352941176,0.8083333333333333,False,5
47,36,Clefable,Fairy,,95,70,73,95,90,60,483,1,77.6,86.0,75.0,0.899390243902439,0.805,False,5
48,97,Hypno,Psychic,,85,73,70,73,115,67,483,1,79.6,90.0,71.0,0.8640483383685801,0.805,False,5
49,18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,1,79.2,76.0,83.66666666666667,0.9491525423728814,0.7983333333333333,False,5
50,87,Dewgong,Water,Ice,90,70,80,70,95,70,475,1,77.0,88.33333333333333,70.0,0.8888888888888888,0.7916666666666666,False,5
51,99,Kingler,Water,,55,130,115,50,50,75,475,1,84.0,73.33333333333333,85.0,0.7246376811594203,0.7916666666666666,False,5
52,85,Dodrio,Normal,Flying,60,110,70,60,60,110,470,1,82.0,63.333333333333336,93.33333333333331,0.7,0.7833333333333333,False,5
53,82,Magneton,Electric,Steel,50,60,95,120,70,70,465,1,83.0,71.66666666666667,83.33333333333333,0.5797101449275363,0.775,False,5
54,122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,1,84.0,75.0,78.33333333333333,0.7121212121212122,0.7666666666666667,False,5
55,42,Golbat,Poison,Flying,75,80,70,65,75,90,455,1,76.0,73.33333333333333,78.33333333333333,0.8793103448275862,0.7583333333333333,False,5
56,57,Primeape,Fighting,,65,105,60,60,70,95,455,1,78.0,65.0,86.66666666666667,0.6610169491525424,0.7583333333333333,False,5
57,106,Hitmonlee,Fighting,,50,120,53,35,110,87,455,1,81.0,71.0,80.66666666666667,0.2861635220125786,0.7583333333333333,False,5
58,107,Hitmonchan,Fighting,,50,105,79,35,110,76,455,1,81.0,79.66666666666667,72.0,0.4802431610942249,0.7583333333333333,False,5
59,124,Jynx,Ice,Psychic,65,50,35,115,95,95,455,1,78.0,65.0,86.66666666666667,0.6610169491525424,0.7583333333333333,False,5
60,28,Sandslash,Ground,,75,100,110,45,55,65,450,1,75.0,80.0,70.0,0.7580645161290323,0.75,False,5
61,49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,1,76.0,68.33333333333333,81.66666666666667,0.8448275862068966,0.75,False,5
62,113,Chansey,Normal,,250,5,5,35,105,50,450,1,40.0,120.0,30.0,0.3333333333333333,0.75,False,5
63,119,Seaking,Water,,80,92,65,65,80,68,450,1,74.0,75.0,75.0,0.7715231788079471,0.75,False,5
64,24,Arbok,Poison,,60,95,69,65,79,80,448,1,77.6,69.33333333333333,80.0,0.7727272727272727,0.7466666666666667,False,5
65,22,Fearow,Normal,Flying,65,90,65,61,61,100,442,1,75.4,63.666666666666664,83.66666666666667,0.8050541516245487,0.7366666666666667,False,5
66,53,Persian,Normal,,65,70,60,65,65,115,440,1,75.0,63.333333333333336,83.33333333333333,0.9423076923076924,0.7333333333333333,False,5
67,117,Seadra,Water,,55,65,95,95,45,85,440,1,77.0,65.0,81.66666666666667,0.6333333333333333,0.7333333333333333,False,5
68,40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,1,59.0,78.33333333333333,66.66666666666667,0.7,0.725,False,4
69,114,Tangela,Grass,,65,55,115,100,40,60,435,1,74.0,73.33333333333333,71.66666666666667,0.467741935483871,0.725,False,4
70,51,Dugtrio,Ground,,35,100,50,50,70,120,425,1,78.0,51.666666666666664,90.0,0.5555555555555556,0.7083333333333334,False,4
71,105,Marowak,Ground,,60,80,110,50,80,45,425,1,73.0,83.33333333333333,58.333333333333336,0.71875,0.7083333333333334,False,4
72,148,Dragonair,Dragon,,61,84,65,70,70,70,420,1,71.8,65.33333333333333,74.66666666666667,0.8858131487889274,0.7,False,4
73,20,Raticate,Normal,,55,81,60,50,70,97,413,1,71.6,61.666666666666664,76.0,0.7241379310344828,0.6883333333333334,False,4
74,77,Ponyta,Fire,,50,85,55,65,65,90,410,1,72.0,56.666666666666664,80.0,0.8148148148148149,0.6833333333333333,False,4
75,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,1,69.0,67.66666666666667,67.33333333333333,0.9333333333333332,0.675,False,4
76,5,Charmeleon,Fire,,58,64,58,80,65,80,405,1,69.4,60.333333333333336,74.66666666666667,0.8614232209737828,0.675,False,4
77,8,Wartortle,Water,,59,63,80,65,80,58,405,1,69.2,73.0,62.0,0.8819444444444444,0.675,False,4
78,47,Parasect,Bug,Grass,60,95,80,60,80,30,405,1,69.0,73.33333333333333,61.666666666666664,0.7777777777777778,0.675,False,4
79,67,Machoke,Fighting,,80,100,70,50,60,45,405,1,65.0,70.0,65.0,0.6785714285714286,0.675,False,4
80,93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,1,72.0,48.333333333333336,86.66666666666667,0.5094339622641509,0.675,False,4
81,64,Kadabra,Psychic,,40,35,30,120,70,105,400,1,72.0,46.666666666666664,86.66666666666667,0.4509803921568627,0.6666666666666666,False,4
82,12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,1,67.0,63.333333333333336,68.33333333333333,0.7735849056603774,0.6583333333333333,False,4
83,15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,1,66.0,61.666666666666664,70.0,0.4901960784313726,0.6583333333333333,False,4
84,44,Gloom,Grass,Poison,60,65,70,85,75,40,395,1,67.0,68.33333333333333,63.333333333333336,0.8813559322033898,0.6583333333333333,False,4
85,137,Porygon,Normal,,65,60,70,85,75,40,395,1,66.0,70.0,61.666666666666664,0.8448275862068966,0.6583333333333333,False,4
86,70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,1,65.0,53.333333333333336,76.66666666666667,0.6851851851851851,0.65,False,4
87,75,Graveler,Rock,Ground,55,95,115,45,45,35,390,1,67.0,71.66666666666667,58.333333333333336,0.7666666666666666,0.65,False,4
88,61,Poliwhirl,Water,,65,65,65,50,50,90,385,1,64.0,60.0,68.33333333333333,0.9347826086956522,0.6416666666666667,False,3
89,95,Onix,Rock,Ground,35,45,160,30,45,70,385,1,70.0,80.0,48.333333333333336,0.4821428571428571,0.6416666666666667,False,3
90,108,Lickitung,Normal,,90,55,75,60,75,30,385,1,59.0,80.0,48.333333333333336,0.8490566037735849,0.6416666666666667,False,3
91,83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,377,1,65.0,56.333333333333336,69.33333333333333,0.7320754716981133,0.6283333333333333,False,3
92,30,Nidorina,Poison,,70,62,67,55,55,56,365,1,59.0,64.0,57.666666666666664,0.9497907949790796,0.6083333333333333,False,3
93,33,Nidorino,Poison,,61,72,57,55,55,65,365,1,60.8,57.666666666666664,64.0,0.8661087866108786,0.6083333333333333,False,3
94,138,Omanyte,Rock,Water,35,40,100,90,55,35,355,1,64.0,63.333333333333336,55.0,0.4912280701754385,0.5916666666666667,False,3
95,140,Kabuto,Rock,Water,30,80,90,55,45,55,355,1,65.0,55.0,63.333333333333336,0.8333333333333334,0.5916666666666667,False,3
96,58,Growlithe,Fire,,55,70,45,70,50,60,350,1,59.0,50.0,66.66666666666667,0.8085106382978724,0.5833333333333334,False,3
97,17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,1,57.2,56.0,60.333333333333336,0.9302325581395348,0.5816666666666667,False,3
98,111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,1,53.0,68.33333333333333,46.666666666666664,0.7291666666666667,0.575,False,3
99,109,Koffing,Poison,,40,65,95,60,45,35,340,1,60.0,60.0,53.333333333333336,0.8113207547169812,0.5666666666666667,False,2
100,120,Staryu,Water,,30,45,55,70,55,85,340,1,62.0,46.666666666666664,66.66666666666667,0.7777777777777778,0.5666666666666667,False,2
101,72,Tentacool,Water,Poison,40,40,35,50,100,70,335,1,59.0,58.333333333333336,53.333333333333336,0.7111111111111111,0.5583333333333333,False,2
102,100,Voltorb,Electric,,40,30,50,55,55,100,330,1,58.0,48.333333333333336,61.666666666666664,0.7631578947368421,0.55,False,2
103,96,Drowzee,Psychic,,60,48,45,43,90,42,328,1,53.6,65.0,44.333333333333336,0.7566371681415929,0.5466666666666666,False,2
104,81,Magnemite,Electric,Steel,25,35,70,95,55,45,325,1,60.0,50.0,58.333333333333336,0.4705882352941176,0.5416666666666666,False,2
105,86,Seel,Water,,65,45,55,45,70,45,325,1,52.0,63.333333333333336,45.0,0.8372093023255813,0.5416666666666666,False,2
106,98,Krabby,Water,,30,105,90,25,25,50,325,1,59.0,48.333333333333336,60.0,0.6122448979591837,0.5416666666666666,False,2
107,102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325,1,53.0,61.666666666666664,46.666666666666664,0.6666666666666667,0.5416666666666666,False,2
108,133,Eevee,Normal,,55,55,50,45,65,55,325,1,54.0,56.666666666666664,51.666666666666664,0.8372093023255813,0.5416666666666666,False,2
109,35,Clefairy,Fairy,,70,45,48,60,65,35,323,1,50.6,61.0,46.666666666666664,0.8944954128440367,0.5383333333333333,False,2
110,25,Pikachu,Electric,,35,55,40,50,50,90,320,1,57.0,41.666666666666664,65.0,0.8974358974358975,0.5333333333333333,False,2
111,43,Oddish,Grass,Poison,45,50,55,75,65,30,320,1,55.0,55.0,51.666666666666664,0.8367346938775511,0.5333333333333333,False,2
112,54,Psyduck,Water,,50,52,48,65,50,55,320,1,54.0,49.333333333333336,57.333333333333336,0.8511627906976744,0.5333333333333333,False,2
113,104,Cubone,Ground,,50,50,95,40,50,35,320,1,54.0,65.0,41.666666666666664,0.7234042553191489,0.5333333333333333,False,2
114,118,Goldeen,Water,,45,67,60,35,50,63,320,1,55.0,51.666666666666664,55.0,0.7452830188679245,0.5333333333333333,False,2
115,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,1,54.6,53.0,53.0,0.9298245614035088,0.53,False,2
116,79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315,1,45.0,65.0,40.0,0.8809523809523809,0.525,False,2
117,7,Squirtle,Water,,44,48,65,50,64,43,314,1,54.0,57.666666666666664,47.0,0.8546255506607929,0.5233333333333333,False,2
118,63,Abra,Psychic,,25,20,15,105,55,90,310,1,57.0,31.666666666666668,71.66666666666667,0.282051282051282,0.5166666666666667,False,2
119,84,Doduo,Normal,Flying,35,85,45,35,35,75,310,1,55.0,38.333333333333336,65.0,0.55,0.5166666666666667,False,2
120,92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,1,56.0,31.666666666666668,71.66666666666667,0.3249999999999999,0.5166666666666667,False,2
121,4,Charmander,Fire,,39,52,43,60,50,65,309,1,54.0,44.0,59.0,0.8682926829268293,0.515,False,2
122,48,Venonat,Bug,Poison,60,55,50,40,55,45,305,1,49.0,55.0,46.666666666666664,0.825,0.5083333333333333,False,2
123,56,Mankey,Fighting,,40,80,35,35,45,70,305,1,53.0,40.0,61.666666666666664,0.4871794871794872,0.5083333333333333,False,2
124,66,Machop,Fighting,,70,80,50,35,35,35,305,1,47.0,51.666666666666664,50.0,0.625,0.5083333333333333,False,2
125,88,Grimer,Poison,,80,80,50,40,50,25,305,1,49.0,60.0,48.333333333333336,0.6363636363636364,0.5083333333333333,False,2
126,90,Shellder,Water,,30,65,100,45,25,40,305,1,55.0,51.666666666666664,50.0,0.6808510638297872,0.5083333333333333,False,2
127,27,Sandshrew,Ground,,50,75,85,20,30,40,300,1,50.0,55.0,45.0,0.6428571428571428,0.5,False,2
128,60,Poliwag,Water,,40,50,40,40,40,90,300,1,52.0,40.0,60.0,0.8823529411764706,0.5,False,2
129,69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,1,50.0,38.333333333333336,61.666666666666664,0.5952380952380952,0.5,False,2
130,74,Geodude,Rock,Ground,40,80,100,30,30,20,300,1,52.0,56.666666666666664,43.333333333333336,0.7083333333333333,0.5,False,2
131,147,Dratini,Dragon,,41,64,45,50,50,50,300,1,51.8,45.333333333333336,54.666666666666664,0.8421052631578947,0.5,False,2
132,37,Vulpix,Fire,,38,41,40,50,65,65,299,1,52.2,47.666666666666664,52.0,0.8724489795918368,0.4983333333333333,False,2
133,116,Horsea,Water,,30,40,70,70,25,60,295,1,53.0,41.666666666666664,56.666666666666664,0.4878048780487805,0.4916666666666666,False,2
134,52,Meowth,Normal,,40,45,35,40,40,90,290,1,50.0,38.333333333333336,58.333333333333336,0.90625,0.4833333333333333,False,1
135,23,Ekans,Poison,,35,60,44,40,54,55,288,1,50.6,44.333333333333336,51.666666666666664,0.7474747474747474,0.48,False,1
136,132,Ditto,Normal,,48,48,48,48,48,48,288,1,48.0,48.0,48.0,1.0,0.48,False,1
137,29,Nidoran♀,Poison,,55,47,52,40,40,41,285,1,44.0,49.0,42.666666666666664,0.9329608938547486,0.475,False,1
138,46,Paras,Bug,Grass,35,70,55,45,55,25,285,1,50.0,48.333333333333336,46.666666666666664,0.7777777777777778,0.475,False,1
139,32,Nidoran♂,Poison,,46,57,40,40,40,50,273,1,45.4,42.0,49.0,0.807909604519774,0.455,False,1
140,39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,1,31.0,53.333333333333336,36.666666666666664,0.6666666666666667,0.45,False,1
141,50,Diglett,Ground,,10,55,25,35,45,95,265,1,51.0,26.666666666666668,61.666666666666664,0.625,0.4416666666666666,False,1
142,21,Spearow,Normal,Flying,40,60,30,31,31,70,262,1,44.4,33.666666666666664,53.666666666666664,0.611842105263158,0.4366666666666666,False,1
143,19,Rattata,Normal,,30,56,35,25,35,72,253,1,44.6,33.333333333333336,51.0,0.5894039735099338,0.4216666666666667,False,1
144,16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,1,42.2,38.333333333333336,45.333333333333336,0.9032258064516128,0.4183333333333333,False,1
145,41,Zubat,Poison,Flying,40,45,35,30,40,55,245,1,41.0,38.333333333333336,43.333333333333336,0.7666666666666666,0.4083333333333333,False,1
146,11,Metapod,Bug,,50,20,55,25,25,30,205,1,31.0,43.333333333333336,25.0,0.6799999999999999,0.3416666666666667,False,0
147,14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,1,32.0,40.0,28.333333333333332,0.8,0.3416666666666667,False,0
148,129,Magikarp,Water,,20,10,55,15,20,80,200,1,36.0,31.666666666666668,35.0,0.4499999999999999,0.3333333333333333,False,0
149,10,Caterpie,Bug,,45,30,35,20,20,45,195,1,30.0,33.333333333333336,31.666666666666668,0.8571428571428572,0.325,False,0
150,13,Weedle,Bug,Poison,40,35,30,20,20,50,195,1,31.0,30.0,35.0,0.8095238095238095,0.325,False,0
